email,amount,transactionDate,name,phoneNumber
user1@example.com,100.5,2024-11-10,John Doe,123-456-7890
user2@example.com,200,2024-11-11,Jane Smith,234-567-8901
user3@example.com,150.75,2024-11-12,Bob Johnson,345-678-9012
user4@example.com,90,2024-11-13,Alice Brown,456-789-0123
user5@example.com,175.5,2024-11-14,Charlie Black,567-890-1234
user6@example.com,88.25,2024-11-15,Dave White,678-901-2345
user7@example.com,110,2024-11-16,Eva Green,789-012-3456
user8@example.com,230.4,2024-11-17,Frank Hall,890-123-4567
user9@example.com,67.5,2024-11-18,Grace Lee,901-234-5678
user10@example.com,150,2024-11-19,Harry King,012-345-6789
user11@example.com,130.6,2024-11-20,Irene Adams,123-456-7891
user12@example.com,95.8,2024-11-21,Jack Green,234-567-8902
user13@example.com,145.3,2024-11-22,Kevin Black,345-678-9013
user14@example.com,120,2024-11-23,Lucy Brown,456-789-0124
user15@example.com,60.9,2024-11-24,Mike White,567-890-1235
user16@example.com,240.8,2024-11-25,Nancy Young,678-901-2346
user17@example.com,180.4,2024-11-26,Oscar Gray,789-012-3457
user18@example.com,90.5,2024-11-27,Pam Adams,890-123-4568
user19@example.com,75.75,2024-11-28,Quinn Snow,901-234-5679
user20@example.com,210,2024-11-29,Rick Wood,012-345-6781
user21@example.com,95.3,2024-11-30,Sam Hill,123-456-7892
user22@example.com,89.4,2024-12-01,Tina Clark,234-567-8903
user23@example.com,155.2,2024-12-02,Ulysses Ray,345-678-9014
user24@example.com,123.45,2024-12-03,Victor Page,456-789-0125
user25@example.com,67.8,2024-12-04,Wendy West,567-890-1236
user26@example.com,180,2024-12-05,Xavier York,678-901-2347
user27@example.com,140.25,2024-12-06,Yara Hope,789-012-3458
user28@example.com,75.6,2024-12-07,Zach Lane,890-123-4569
user29@example.com,92.4,2024-12-08,Alex Moore,901-234-5670
user30@example.com,210.5,2024-12-09,Brian Love,012-345-6782
